"Date","Price","Open","High","Low","Change %"
"Sep 24, 2004","56.2680","56.1650","56.7050","56.0930","0.04%"
"Sep 23, 2004","56.2470","56.1650","56.6810","56.1220","-0.00%"
"Sep 22, 2004","56.2495","56.4050","56.5085","55.9570","-0.37%"
"Sep 21, 2004","56.4595","55.7320","56.5325","55.7070","1.16%"
"Sep 20, 2004","55.8110","55.7630","55.9870","55.4990","-0.21%"
"Sep 17, 2004","55.9285","55.7360","56.1175","55.6410","0.20%"
"Sep 16, 2004","55.8160","55.5890","55.9880","55.4520","0.26%"
"Sep 15, 2004","55.6705","56.0250","56.2915","55.5110","-0.70%"
"Sep 14, 2004","56.0630","56.5340","56.6270","55.9360","-0.89%"
"Sep 13, 2004","56.5645","56.6640","56.8545","56.2120","-0.19%"
"Sep 10, 2004","56.6725","56.5810","56.9335","56.2190","0.15%"
"Sep 09, 2004","56.5855","56.3420","56.6455","56.1680","0.31%"
"Sep 08, 2004","56.4120","56.0170","56.5040","55.5900","0.62%"
"Sep 07, 2004","56.0645","55.7990","56.1765","55.7190","0.45%"
"Sep 06, 2004","55.8160","55.7850","55.9820","55.6980","0.13%"
"Sep 03, 2004","55.7440","56.3140","56.4650","55.6690","-1.11%"
"Sep 02, 2004","56.3690","56.3960","56.5540","56.1460","-0.15%"
"Sep 01, 2004","56.4555","56.3640","56.6095","56.1640","0.02%"
"Aug 31, 2004","56.4440","55.8130","56.4860","55.7570","1.02%"
"Aug 30, 2004","55.8760","55.5870","55.9260","55.4030","0.49%"
"Aug 27, 2004","55.6030","56.0160","56.2330","55.5020","-0.86%"
"Aug 26, 2004","56.0840","55.8840","56.1100","55.7530","0.25%"
"Aug 25, 2004","55.9420","55.8790","56.2060","55.7270","0.05%"
"Aug 24, 2004","55.9140","56.0440","56.3700","55.7610","-0.26%"
"Aug 23, 2004","56.0615","56.9000","56.9835","56.0120","-1.52%"
"Aug 20, 2004","56.9240","57.1820","57.3540","56.6740","-0.46%"
"Aug 19, 2004","57.1880","57.0370","57.3460","57.0250","0.10%"
"Aug 18, 2004","57.1320","57.1480","57.4230","56.8810","-0.09%"
"Aug 17, 2004","57.1830","57.2110","57.4790","56.9690","-0.16%"
